Verification log – 2026-05-17 11:55:55 UTC
Execution time: 40.6s
Total proxies tested: 134
Working proxies found: 38
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
------------------------------------------------------------
2026-05-17T11:55:52.938879  87.248.132.2:443               FAIL   -        eu
2026-05-17T11:55:52.948871  Team.hafthashtgswreqetdgsrwrpi-esoiiisolfnwfsksjvwu-urishklfduiwoehv.info.:6773 FAIL   -        eu
2026-05-17T11:55:53.041488  195.254.165.252:25565          OK     0.12s    eu
2026-05-17T11:55:53.041636  ader.dynoporo.com:443          FAIL   -        eu
2026-05-17T11:55:53.042781  195.254.165.247:25565          OK     0.119s   eu
2026-05-17T11:55:53.043125  46.225.29.180:443              FAIL   -        eu
2026-05-17T11:55:53.043681  195.254.165.253:25565          OK     0.119s   eu
2026-05-17T11:55:53.044955  91.107.255.20:2053             FAIL   -        eu
2026-05-17T11:55:53.045224  195.254.165.250:25565          OK     0.113s   eu
2026-05-17T11:55:53.048578  195.254.165.251:25565          OK     0.119s   eu
2026-05-17T11:55:53.050476  185.117.0.248:443              OK     0.117s   eu
2026-05-17T11:55:53.050770  91.108.248.15:443              OK     0.115s   ru
2026-05-17T11:55:53.051269  104.253.43.230:443             OK     0.13s    ru
2026-05-17T11:55:53.051760  178.105.141.172:443            OK     0.123s   eu
2026-05-17T11:55:53.052322  104.253.43.94:443              OK     0.127s   ru
2026-05-17T11:55:53.053394  104.253.43.252:443             OK     0.131s   ru
2026-05-17T11:55:53.053480  89.125.188.111:443             OK     0.115s   ru
2026-05-17T11:55:53.054706  104.253.43.74:443              OK     0.127s   ru
2026-05-17T11:55:53.056213  195.254.165.249:25565          OK     0.119s   eu
2026-05-17T11:55:53.056774  116.203.134.165:443            OK     0.121s   eu
2026-05-17T11:55:53.057938  178.104.98.160:443             FAIL   -        eu
2026-05-17T11:55:53.058174  146.103.104.26:443             FAIL   -        eu
2026-05-17T11:55:53.066823  62.238.27.70:443               OK     0.142s   eu
2026-05-17T11:55:53.070395  ethereal.arixo.shop:443        OK     0.136s   ru
2026-05-17T11:55:53.071506  204.168.129.90:443             OK     0.144s   eu
2026-05-17T11:55:53.073848  pika.proxytg.space:443         OK     0.14s    eu
2026-05-17T11:55:53.074591  arixo.shop:443                 OK     0.152s   eu
2026-05-17T11:55:53.076349  femboy.arixo.shop:443          OK     0.147s   eu
2026-05-17T11:55:53.088438  dealer5-nl.dealer.ac:8443      OK     0.151s   eu
2026-05-17T11:55:53.088585  dealer2-de.dealer.ac:8443      OK     0.159s   eu
2026-05-17T11:55:53.093498  proxy.nolags.pw:443            FAIL   -        eu
2026-05-17T11:55:53.095720  Shoting.forwarding-co.site.:44300 FAIL   -        eu
2026-05-17T11:55:53.099195  Ashkoda-Best.gabrial-batistuta.shop:443 FAIL   -        eu
2026-05-17T11:55:53.099388  syntax.ddnscdn.sbs.:443        OK     0.164s   eu
2026-05-17T11:55:53.101618  87.248.134.204:443             FAIL   -        eu
2026-05-17T11:55:53.102481  vaslshid.co.uk.:85             FAIL   -        eu
2026-05-17T11:55:53.102820  Komatso-Japan.www.google.com.ganool-com.info:300 FAIL   -        eu
2026-05-17T11:55:53.105744  weblog.forwarding-co.site:443  FAIL   -        eu
2026-05-17T11:55:53.108094  vfast.proxytg.space:443        FAIL   -        eu
2026-05-17T11:55:53.110077  mt.shifor.live:443             OK     0.185s   eu
2026-05-17T11:55:53.116415  dealer4-fin.dealer.ac:8443     OK     0.178s   eu
2026-05-17T11:55:53.123201  mt.corph.ru:443                OK     0.195s   ru
2026-05-17T11:55:53.158695  89.125.48.232:443              FAIL   -        ru
2026-05-17T11:55:53.169326  Fuck-War.harcibasheokeye.ir:110 FAIL   -        eu
2026-05-17T11:55:53.189615  23.88.51.230:443               OK     0.123s   eu
2026-05-17T11:55:53.196490  45.135.194.28:37               FAIL   -        eu
2026-05-17T11:55:53.207913  tyan.arixo.shop:443            OK     0.151s   eu
2026-05-17T11:55:53.221325  germany.tgproxysokol.pro:8443  OK     0.17s    ru
2026-05-17T11:55:53.228836  dealer3-swe.dealer.ac:8443     OK     0.187s   eu
2026-05-17T11:55:53.231326  s1.proxytg.space:443           OK     0.132s   eu
2026-05-17T11:55:53.232788  95.216.222.63:443              OK     0.144s   eu
2026-05-17T11:55:53.235480  87.248.134.172:443             FAIL   -        eu
